chrom,length,cumsum,offset
1,248956422,248956422,0
2,242193529,491149951,248956422
3,198295559,689445510,491149951
4,190214555,879660065,689445510
5,181538259,1061198324,879660065
6,170805979,1232004303,1061198324
7,159345973,1391350276,1232004303
8,145138636,1536488912,1391350276
9,138394717,1674883629,1536488912
10,133797422,1808681051,1674883629
11,135086622,1943767673,1808681051
12,133275309,2077042982,1943767673
13,114364328,2191407310,2077042982
14,107043718,2298451028,2191407310
15,101991189,2400442217,2298451028
16,90338345,2490780562,2400442217
17,83257441,2574038003,2490780562
18,80373285,2654411288,2574038003
19,58617616,2713028904,2654411288
20,64444167,2777473071,2713028904
21,46709983,2824183054,2777473071
22,50818468,2875001522,2824183054
X,156040895,3031042417,2875001522
Y,57227415,3088269832,3031042417
